model,predictor,row_id,value
indep1,court_independence_lag1,1,0.21699999272823334
indep1,court_independence_lag1,2,0.21699999272823334
indep1,court_independence_lag1,3,3.0369999408721924
indep1,court_independence_lag1,4,3.0139999389648438
indep1,court_independence_lag1,5,3.0139999389648438
indep1,court_independence_lag1,6,3.0369999408721924
indep1,court_independence_lag1,7,3.0139999389648438
indep1,court_independence_lag1,8,3.365999937057495
indep1,court_independence_lag1,9,3.0139999389648438
indep1,court_independence_lag1,10,2.5280001163482666
indep1,court_independence_lag1,11,3.2790000438690186
indep1,court_independence_lag1,12,3.0139999389648438
indep1,court_independence_lag1,13,3.0139999389648438
indep1,court_independence_lag1,14,3.0139999389648438
indep1,court_independence_lag1,15,3.2790000438690186
indep1,court_independence_lag1,16,3.0139999389648438
indep1,court_independence_lag1,17,3.0139999389648438
indep1,court_independence_lag1,19,3.0139999389648438
indep1,court_independence_lag1,24,-2.3450000286102295
indep1,court_independence_lag1,29,-1.4769999980926514
indep1,court_independence_lag1,30,-1.4769999980926514
indep1,court_independence_lag1,31,-1.0889999866485596
indep1,court_independence_lag1,33,-1.3279999494552612
indep1,court_independence_lag1,35,1.9490000009536743
indep1,court_independence_lag1,37,1.9490000009536743
indep1,court_independence_lag1,38,1.2790000438690186
indep1,court_independence_lag1,39,1.6699999570846558
indep1,court_independence_lag1,40,-1.156000018119812
indep1,court_independence_lag1,41,-1.156000018119812
indep1,court_independence_lag1,42,-1.156000018119812
indep1,court_independence_lag1,46,-1.5149999856948853
indep1,court_independence_lag1,48,2.1989998817443848
indep1,court_independence_lag1,49,2.1989998817443848
indep1,court_independence_lag1,50,2.1989998817443848
indep1,court_independence_lag1,51,2.1989998817443848
indep1,court_independence_lag1,52,2.1989998817443848
indep1,court_independence_lag1,53,2.1989998817443848
indep1,court_independence_lag1,54,2.1989998817443848
indep1,court_independence_lag1,55,2.1989998817443848
indep1,court_independence_lag1,56,2.2890000343322754
indep1,court_independence_lag1,57,2.1989998817443848
indep1,court_independence_lag1,58,2.1989998817443848
indep1,court_independence_lag1,59,2.2890000343322754
indep1,court_independence_lag1,60,2.2890000343322754
indep1,court_independence_lag1,61,2.2890000343322754
indep1,court_independence_lag1,62,2.1989998817443848
