model,equation,term,coefficient,clustered_se,lower,upper
indep1,Contracts_Expression,court_independence_lag1,-0.6922409298892735,0.15623456818125056,-0.9984550566646921,-0.38602680311385495
indep1,Contracts_Expression,yearspline1,-0.007366047146140474,0.012328935016487585,-0.031530315746190876,0.01679822145390993
indep1,Contracts_Expression,yearspline2,-0.006497539567630094,0.03022106985049943,-0.06572974804887825,0.05273466891361807
indep1,Contracts_Expression,_cons,16.154263824930645,24.548099684694115,-31.959127445968875,64.26765509583016
indep1,Expands_Expression,court_independence_lag1,-0.221695705269877,0.09666995422824587,-0.41116533394437443,-0.03222607659537957
indep1,Expands_Expression,yearspline1,-0.011493779827450814,0.0039781397965626625,-0.01929079055417913,-0.003696769100722498
indep1,Expands_Expression,yearspline2,0.010635808644295622,0.01495915699513398,-0.0186836003052474,0.03995521759383864
indep1,Expands_Expression,_cons,24.31366509153461,7.880545868764554,8.868079010240171,39.759251172829046
indep2,Contracts_Expression,court_independence_lag1,-0.6542827834027685,0.1815582864013719,-1.0101304858442657,-0.2984350809612713
indep2,Contracts_Expression,Civil,-0.33249250166360633,0.39952306845981056,-1.1155433268377655,0.4505583235105528
indep2,Contracts_Expression,Mixed,-0.03540071458730561,0.6111733110254353,-1.2332783925092554,1.1624769633346441
indep2,Contracts_Expression,1.high_court,-0.7649699966082465,0.37026286917059703,-1.4906718849950826,-0.03926810822141036
indep2,Contracts_Expression,Citizen,0.4485965516846863,0.3579944562536624,-0.25305968923749184,1.1502527926068644
indep2,Contracts_Expression,Press,0.37277538213973965,0.3854369277270872,-0.38266711451711904,1.1282178787965984
indep2,Contracts_Expression,Intermediary,0.36458341353601936,0.39945220787402247,-0.41832852744207166,1.1474953545141104
indep2,Contracts_Expression,Other/unclear,-0.12290215413443842,0.4522069917403281,-1.0092115715026833,0.7634072632338064
indep2,Contracts_Expression,1.mode_electronic_internet,-0.009768410746163464,0.23349368435157908,-0.46740762269282204,0.4478708012004951
indep2,Contracts_Expression,1.mode_press_newspapers,-0.6223038852300659,0.45794231084230497,-1.51985432147803,0.2752465510178982
indep2,Contracts_Expression,1.mode_public_assembly,-0.3905685680453947,0.2045026035030517,-0.7913863056560506,0.010249169565261285
indep2,Contracts_Expression,1.mode_public_speech,0.1618788148362525,0.20721946946385267,-0.24426388220839623,0.5680215118809012
indep2,Contracts_Expression,1.mode_non_verbal_expression,-0.370010159255477,0.28324239563278014,-0.9251550535905712,0.1851347350796172
indep2,Contracts_Expression,yearspline1,-0.018373579298681234,0.009263421438522332,-0.03652955169180122,-0.0002176069055612427
indep2,Contracts_Expression,yearspline2,-0.006837373964656013,0.027017587978923174,-0.05979087335248775,0.04611612542317572
indep2,Contracts_Expression,_cons,38.50828659737245,18.17507529846138,2.885793596084568,74.13077959866033
indep2,Expands_Expression,court_independence_lag1,0.10268059980323546,0.13057662524295002,-0.1532448828957303,0.3586060825022012
indep2,Expands_Expression,Civil,0.8337087685771881,0.3587886391992136,0.13049595768459354,1.5369215794697828
indep2,Expands_Expression,Mixed,0.9787716216126325,0.3422574699923422,0.3079593069878436,1.6495839362374216
indep2,Expands_Expression,1.high_court,-0.16044944025452915,0.16945465918193234,-0.49257446926362614,0.17167558875456781
indep2,Expands_Expression,Citizen,-0.7501739576566515,0.16636078012636976,-1.0762350951443231,-0.42411282016898
indep2,Expands_Expression,Press,-0.5848000583108078,0.41672968588127757,-1.4015752339268017,0.23197511730518605
indep2,Expands_Expression,Intermediary,-1.0992643731290648,0.6830088288940059,-2.4379370788841968,0.2394083326260672
indep2,Expands_Expression,Other/unclear,-0.3707558044203968,0.191851390666504,-0.7467776205106685,0.005266011669874948
indep2,Expands_Expression,1.mode_electronic_internet,-0.13812633180621456,0.24229732748173344,-0.6130203672207192,0.33676770360829
indep2,Expands_Expression,1.mode_press_newspapers,0.10498379820030938,0.35752879816530003,-0.5957597696395689,0.8057273660401876
indep2,Expands_Expression,1.mode_public_assembly,-0.4686298447558333,0.35796852062718343,-1.1702352527841962,0.2329755632725296
indep2,Expands_Expression,1.mode_public_speech,-0.2763288094081027,0.1301211543145239,-0.5313615854913483,-0.021296033324857244
indep2,Expands_Expression,1.mode_non_verbal_expression,-0.5524461643693938,0.2874620630969408,-1.1158614549609782,0.010969126222190706
