model,row_id,outcome,predicted_probability
spec_p_reform,0,Mixed Outcome,0.5678572796771423
spec_p_reform,1,Mixed Outcome,0.5678572796771423
spec_p_reform,2,Mixed Outcome,0.16259350315044951
spec_p_reform,3,Mixed Outcome,0.24115438227996683
spec_p_reform,4,Mixed Outcome,0.24359397352768034
spec_p_reform,5,Mixed Outcome,0.1683725221282283
spec_p_reform,6,Mixed Outcome,0.23667993257136233
spec_p_reform,7,Mixed Outcome,0.16013757319340444
spec_p_reform,8,Mixed Outcome,0.24379443176057672
spec_p_reform,9,Mixed Outcome,0.18029813304617825
spec_p_reform,10,Mixed Outcome,0.16096297633720888
spec_p_reform,11,Mixed Outcome,0.23656835093242395
spec_p_reform,12,Mixed Outcome,0.2326361349485353
spec_p_reform,13,Mixed Outcome,0.261003527417546
spec_p_reform,14,Mixed Outcome,0.20186815575532538
spec_p_reform,15,Mixed Outcome,0.2982835344386314
spec_p_reform,16,Mixed Outcome,0.28197835443493513
spec_p_reform,18,Mixed Outcome,0.28019669193768765
spec_p_reform,23,Mixed Outcome,0.671494416044643
spec_p_reform,28,Mixed Outcome,0.2918070563412937
spec_p_reform,29,Mixed Outcome,0.370162599891325
spec_p_reform,30,Mixed Outcome,0.2944169804996482
spec_p_reform,32,Mixed Outcome,0.07584508453687222
spec_p_reform,34,Mixed Outcome,0.09588486451363525
spec_p_reform,36,Mixed Outcome,0.09077993575493604
spec_p_reform,37,Mixed Outcome,0.06432764287597226
spec_p_reform,38,Mixed Outcome,0.09015449278515256
spec_p_reform,39,Mixed Outcome,0.7496867187242132
spec_p_reform,40,Mixed Outcome,0.7513580752058875
spec_p_reform,41,Mixed Outcome,0.7644334590583438
spec_p_reform,45,Mixed Outcome,0.7072358195734824
spec_p_reform,47,Mixed Outcome,0.17421056960532275
spec_p_reform,48,Mixed Outcome,0.17551003101034426
spec_p_reform,49,Mixed Outcome,0.17551003101034426
spec_p_reform,50,Mixed Outcome,0.1761624037975538
spec_p_reform,51,Mixed Outcome,0.169717871776035
spec_p_reform,52,Mixed Outcome,0.169717871776035
spec_p_reform,53,Mixed Outcome,0.1671892497522537
spec_p_reform,54,Mixed Outcome,0.17099271144761263
spec_p_reform,55,Mixed Outcome,0.2475893779378882
spec_p_reform,56,Mixed Outcome,0.1761624037975538
spec_p_reform,57,Mixed Outcome,0.18077837986850628
spec_p_reform,58,Mixed Outcome,0.25683938287098584
spec_p_reform,59,Mixed Outcome,0.25769031365588196
spec_p_reform,60,Mixed Outcome,0.25260968090178754
spec_p_reform,61,Mixed Outcome,0.1761624037975538
spec_p_reform,62,Mixed Outcome,0.17945070959617576
spec_p_reform,63,Mixed Outcome,0.25599011091230645
spec_p_reform,64,Mixed Outcome,0.18011366233741002
spec_p_reform,65,Mixed Outcome,0.1902698609502179
spec_p_reform,66,Mixed Outcome,0.26977545447434814
spec_p_reform,67,Mixed Outcome,0.181551011319702
spec_p_reform,68,Mixed Outcome,0.26027329167207935
spec_p_reform,69,Mixed Outcome,0.27077204505042013
spec_p_reform,70,Mixed Outcome,0.24772242209582213
spec_p_reform,71,Mixed Outcome,0.17048045358565944
spec_p_reform,72,Mixed Outcome,0.16984407630586298
spec_p_reform,73,Mixed Outcome,0.16357655620153763
spec_p_reform,74,Mixed Outcome,0.23544558235631685
spec_p_reform,75,Mixed Outcome,0.307159605601666
spec_p_reform,76,Mixed Outcome,0.4124147025992957
spec_p_reform,81,Mixed Outcome,0.09959505417369251
spec_p_reform,82,Mixed Outcome,0.09959505417369251
spec_p_reform,83,Mixed Outcome,0.10217133791036524
spec_p_reform,84,Mixed Outcome,0.13611968088418877
spec_p_reform,85,Mixed Outcome,0.09995968061274403
spec_p_reform,88,Mixed Outcome,0.08913692802535285
spec_p_reform,89,Mixed Outcome,0.11277909509710606
spec_p_reform,90,Mixed Outcome,0.08622861314131684
spec_p_reform,91,Mixed Outcome,0.09245284674961493
spec_p_reform,92,Mixed Outcome,0.10721208287513491
spec_p_reform,93,Mixed Outcome,0.13577292081583334
spec_p_reform,94,Mixed Outcome,0.129492499602431
spec_p_reform,95,Mixed Outcome,0.2547145956942067
spec_p_reform,96,Mixed Outcome,0.22807577591786388
spec_p_reform,97,Mixed Outcome,0.20192136008419848
spec_p_reform,98,Mixed Outcome,0.20645382169064952
spec_p_reform,99,Mixed Outcome,0.20580197733275246
